Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha,Valor_Tasado_Madrid,Valor_Tasado_España,Dif_Madrid,Dif_España,Pct_Madrid,Pct_España
San Fernando De Henares,2948.8,240,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,164.0,1124.5000000000002,5.8891123240448096,61.640081127007626
San Sebastián De Los Reyes,2974.6,338,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,189.79999999999973,1150.3,6.8155702384372185,63.05432220577756
Torrejón De Ardoz,2477.5,824,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-307.3000000000002,653.2,-11.034903763286419,35.8055144438963
Tres Cantos,3100.5,145,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,315.6999999999998,1276.2,11.336541223786266,69.95559940799212
Valdemoro,2065.7,567,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-719.1000000000004,241.39999999999986,-25.822321172077,13.232472729266021
Villaviciosa De Odón,2603.2,96,T4A2005  ,4,2005,12,2005-12-31,2784.8,1824.3,-181.60000000000036,778.8999999999999,-6.521114622235002,42.69582853697307
Alcalá De Henares,2556.2,1059,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-317.7000000000003,668.5999999999999,-11.054664393333113,35.420639966094505
Alcobendas,3294.5,346,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,420.5999999999999,1406.9,14.635164758690289,74.53379953379955
Alcorcón,2956.0,653,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,82.09999999999991,1068.4,2.856745189463794,56.60097478279298
Aranjuez,2312.3,448,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-561.5999999999999,424.7000000000003,-19.541389749121397,22.499470226742968
Arganda Del Rey,2176.9,313,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-697.0,289.3000000000002,-24.252757576812,15.326340326340326
Boadilla Del Monte,2841.4,180,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-32.5,953.8000000000002,-1.130867462333418,50.529773257045996
Collado Villalba,2650.3,567,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-223.5999999999999,762.7000000000003,-7.780368140853888,40.405806314897234
Colmenar Viejo,2643.1,218,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-230.80000000000018,755.5,-8.030898778663143,40.02436956982412
Coslada,2832.9,421,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-41.0,945.3000000000002,-1.4266327986359961,50.079465988556905
Fuenlabrada,2399.2,978,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-474.7000000000003,511.5999999999999,-16.51762413445145,27.10319983047256
Galapagar,2318.1,238,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-555.8000000000002,430.5,-19.33957340199729,22.80673871582963
Getafe,2839.3,701,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-34.59999999999991,951.7000000000003,-1.2039388983611121,50.418520873066356
Leganés,2674.0,725,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-199.9000000000001,786.4000000000001,-6.955704791398453,41.661368934096224
Madrid,3657.0,15474,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,783.0999999999999,1769.4,27.248686453947602,93.73808010171646
Majadahonda,3253.1,303,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,379.1999999999998,1365.5,13.194613591287085,72.34053824962916
Móstoles,2483.9,983,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-390.0,596.3000000000002,-13.570409548000972,31.59037931765205
Parla,2378.8,752,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-495.0999999999999,491.2000000000003,-17.227460941577643,26.022462386098756
Pinto,2627.0,201,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-246.9000000000001,739.4000000000001,-8.59111312154216,39.1714346259801
Pozuelo De Alarcón,3369.7,320,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,495.7999999999997,1482.1,17.251818086920203,78.51769442678534
Rivas-Vaciamadrid,2412.0,222,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-461.9000000000001,524.4000000000001,-16.072236333901667,27.781309599491433
Rozas De Madrid (Las),3034.0,446,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,160.0999999999999,1146.4,5.57082709906398,60.73320618775164
San Fernando De Henares,2940.9,337,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,67.0,1053.3000000000002,2.3313267685027395,55.80101716465353
San Sebastián De Los Reyes,3040.1,418,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,166.19999999999982,1152.5,5.7830822227634915,61.056367874549686
Torrejón De Ardoz,2485.8,981,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,-388.0999999999999,598.2000000000003,-13.50429729635686,31.69103623649079
Tres Cantos,3067.8,116,T1A2006 ,1,2006,3,2006-03-31,2873.9,1887.6,193.9000000000001,1180.2000000000003,6.746929259890733,62.52383979656708
