Municipio,Valor_Tasado,Num_Tasaciones,Periodo,Trimestre,Año,Mes,Fecha
San Fernando De Henares,3278.4,114,T3A2007 ,3,2007,9,2007-09-30
San Sebastián De Los Reyes,3162.5,215,T3A2007 ,3,2007,9,2007-09-30
Torrejón De Ardoz,2752.5,476,T3A2007 ,3,2007,9,2007-09-30
Tres Cantos,3305.7,88,T3A2007 ,3,2007,9,2007-09-30
Valdemoro,2456.4,500,T3A2007 ,3,2007,9,2007-09-30
Villaviciosa De Odón,2820.2,58,T3A2007 ,3,2007,9,2007-09-30
Alcalá De Henares,2787.7,444,T4A2007 ,4,2007,12,2007-12-31
Alcobendas,3475.2,217,T4A2007 ,4,2007,12,2007-12-31
Alcorcón,3281.3,602,T4A2007 ,4,2007,12,2007-12-31
Aranjuez,2428.0,164,T4A2007 ,4,2007,12,2007-12-31
Arganda Del Rey,2248.4,125,T4A2007 ,4,2007,12,2007-12-31
Boadilla Del Monte,3269.2,168,T4A2007 ,4,2007,12,2007-12-31
Collado Villalba,2716.6,196,T4A2007 ,4,2007,12,2007-12-31
Colmenar Viejo,2600.3,110,T4A2007 ,4,2007,12,2007-12-31
Coslada,2979.6,155,T4A2007 ,4,2007,12,2007-12-31
Fuenlabrada,2532.7,531,T4A2007 ,4,2007,12,2007-12-31
Galapagar,2503.0,152,T4A2007 ,4,2007,12,2007-12-31
Getafe,2921.2,378,T4A2007 ,4,2007,12,2007-12-31
Leganés,2982.3,417,T4A2007 ,4,2007,12,2007-12-31
Madrid,3861.2,8977,T4A2007 ,4,2007,12,2007-12-31
Majadahonda,3591.7,215,T4A2007 ,4,2007,12,2007-12-31
Móstoles,2655.3,487,T4A2007 ,4,2007,12,2007-12-31
Parla,2307.8,371,T4A2007 ,4,2007,12,2007-12-31
Pinto,2615.9,104,T4A2007 ,4,2007,12,2007-12-31
Pozuelo De Alarcón,3548.4,133,T4A2007 ,4,2007,12,2007-12-31
Rivas-Vaciamadrid,2438.0,226,T4A2007 ,4,2007,12,2007-12-31
Las Rozas de Madrid,3125.4,372,T4A2007 ,4,2007,12,2007-12-31
San Fernando De Henares,2983.6,120,T4A2007 ,4,2007,12,2007-12-31
San Sebastián De Los Reyes,2756.3,304,T4A2007 ,4,2007,12,2007-12-31
Torrejón De Ardoz,2581.0,392,T4A2007 ,4,2007,12,2007-12-31
Tres Cantos,3052.1,78,T4A2007 ,4,2007,12,2007-12-31
Valdemoro,2565.7,421,T4A2007 ,4,2007,12,2007-12-31
Villaviciosa De Odón,2739.7,66,T4A2007 ,4,2007,12,2007-12-31
Alcalá De Henares,2809.3,488,T1A2008 ,1,2008,3,2008-03-31
Alcobendas,3620.7,215,T1A2008 ,1,2008,3,2008-03-31
Alcorcón,3163.3,399,T1A2008 ,1,2008,3,2008-03-31
Aranjuez,2789.7,262,T1A2008 ,1,2008,3,2008-03-31
Arganda Del Rey,2263.5,144,T1A2008 ,1,2008,3,2008-03-31
Boadilla Del Monte,3005.2,132,T1A2008 ,1,2008,3,2008-03-31
Collado Villalba,2832.4,247,T1A2008 ,1,2008,3,2008-03-31
Colmenar Viejo,2493.9,129,T1A2008 ,1,2008,3,2008-03-31
Coslada,3163.2,288,T1A2008 ,1,2008,3,2008-03-31
Fuenlabrada,2556.0,564,T1A2008 ,1,2008,3,2008-03-31
Galapagar,2374.7,92,T1A2008 ,1,2008,3,2008-03-31
Getafe,3044.8,534,T1A2008 ,1,2008,3,2008-03-31
Leganés,3058.2,615,T1A2008 ,1,2008,3,2008-03-31
Madrid,3842.7,9235,T1A2008 ,1,2008,3,2008-03-31
Majadahonda,3602.6,241,T1A2008 ,1,2008,3,2008-03-31
Móstoles,2722.2,575,T1A2008 ,1,2008,3,2008-03-31
Parla,2377.0,408,T1A2008 ,1,2008,3,2008-03-31
Pinto,2751.9,208,T1A2008 ,1,2008,3,2008-03-31
Pozuelo De Alarcón,3568.2,146,T1A2008 ,1,2008,3,2008-03-31
Rivas-Vaciamadrid,2480.4,236,T1A2008 ,1,2008,3,2008-03-31
Las Rozas de Madrid,3163.9,227,T1A2008 ,1,2008,3,2008-03-31
San Fernando De Henares,3327.7,135,T1A2008 ,1,2008,3,2008-03-31
San Sebastián De Los Reyes,3309.0,390,T1A2008 ,1,2008,3,2008-03-31
Torrejón De Ardoz,2664.8,409,T1A2008 ,1,2008,3,2008-03-31
Tres Cantos,3162.7,73,T1A2008 ,1,2008,3,2008-03-31
Valdemoro,2429.0,540,T1A2008 ,1,2008,3,2008-03-31
Villaviciosa De Odón,2717.3,55,T1A2008 ,1,2008,3,2008-03-31
Alcalá De Henares,2762.2,500,T2A2008,2,2008,6,2008-06-30
Alcobendas,3482.8,210,T2A2008,2,2008,6,2008-06-30
Alcorcón,3070.5,410,T2A2008,2,2008,6,2008-06-30
Aranjuez,2234.0,209,T2A2008,2,2008,6,2008-06-30
Arganda Del Rey,2431.0,249,T2A2008,2,2008,6,2008-06-30
Boadilla Del Monte,2925.2,146,T2A2008,2,2008,6,2008-06-30
Collado Villalba,2922.2,307,T2A2008,2,2008,6,2008-06-30
Colmenar Viejo,2583.7,148,T2A2008,2,2008,6,2008-06-30
Coslada,3031.6,195,T2A2008,2,2008,6,2008-06-30
Fuenlabrada,2583.0,632,T2A2008,2,2008,6,2008-06-30
Galapagar,2450.6,124,T2A2008,2,2008,6,2008-06-30
Getafe,3214.1,683,T2A2008,2,2008,6,2008-06-30
Leganés,2795.1,511,T2A2008,2,2008,6,2008-06-30
Madrid,3873.7,9573,T2A2008,2,2008,6,2008-06-30
Majadahonda,3497.1,213,T2A2008,2,2008,6,2008-06-30
Móstoles,2653.5,652,T2A2008,2,2008,6,2008-06-30
Parla,2428.7,361,T2A2008,2,2008,6,2008-06-30
Pinto,2544.4,180,T2A2008,2,2008,6,2008-06-30
Pozuelo De Alarcón,3632.5,221,T2A2008,2,2008,6,2008-06-30
